2.000000000000000042e-02 9.130029416403756537e-03 1.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000083e-02 8.837643579604259614e-03 1.000000000000000000e+00 0.000000000000000000e+00
5.999999999999999778e-02 8.245758498014021248e-03 1.000000000000000000e+00 0.000000000000000000e+00
7.999999999999998779e-02 7.532760945773514516e-03 1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 6.731450356238357323e-03 1.000000000000000000e+00 0.000000000000000000e+00
1.199999999999999956e-01 5.950901365729024950e-03 1.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000133e-01 4.781115341573150684e-03 1.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000311e-01 3.503781700581080211e-03 1.000000000000000000e+00 0.000000000000000000e+00
1.799999999999999933e-01 2.856857577070031490e-03 8.587514009234976653e-01 1.412485990765023347e-01
2.000000000000000111e-01 1.880698249638818823e-03 8.394192841962287988e-01 1.605807158037712012e-01
2.200000000000000289e-01 9.350938125348129924e-04 1.000000000000000000e+00 0.000000000000000000e+00
2.399999999999999911e-01 5.215797169050657902e-04 6.530677759480187916e-01 3.469322240519812084e-01
2.600000000000000089e-01 3.484663645880654338e-04 3.786459860616316342e-01 6.213540139383684213e-01
2.800000000000000266e-01 3.868890535644272689e-04 8.691020303511067802e-01 1.308979696488932198e-01
3.000000000000000444e-01 4.068867338789316579e-04 1.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000067e-01 3.227364411411139350e-04 1.000000000000000000e+00 0.000000000000000000e+00
3.400000000000000244e-01 2.700444507835220468e-04 1.000000000000000000e+00 0.000000000000000000e+00
3.599999999999999867e-01 2.091197659102646419e-04 9.956060938663432447e-01 4.393906133656755308e-03
3.800000000000000044e-01 1.687846531588212476e-04 9.964951755591985316e-01 3.504824440801468377e-03
4.000000000000000222e-01 1.383607499345239551e-04 9.271818515022443030e-01 7.281814849775569698e-02
4.200000000000000400e-01 1.298948054716414253e-04 8.857997433661343178e-01 1.142002566338656822e-01
4.400000000000000022e-01 1.124240414118448799e-04 9.753921740544557739e-01 2.460782594554422609e-02
4.600000000000000200e-01 1.059669469179283540e-04 1.000000000000000000e+00 0.000000000000000000e+00
4.799999999999999822e-01 1.019320392587345681e-04 9.935857708867282811e-01 6.414229113271718852e-03
5.000000000000000000e-01 9.841207153021814223e-05 1.000000000000000000e+00 0.000000000000000000e+00
5.200000000000000178e-01 9.850307733115962563e-05 1.000000000000000000e+00 0.000000000000000000e+00
