# col1  col3       
  2.455 1.607E-5   
  2.465 1.584E-5   
  2.475 1.562E-5   
  2.485 1.542E-5   
  2.495 1.521E-5   
  2.505 1.499E-5   
  2.515 1.477E-5   
  2.525 1.455E-5   
  2.535 1.43E-5    
  2.545 1.401E-5   
  2.555 1.367E-5   
  2.565 1.329E-5   
  2.575 1.292E-5   
  2.585 1.259E-5   
  2.595 1.233E-5   
  2.605 1.215E-5   
  2.615 1.203E-5   
  2.625 1.194E-5   
  2.635 1.184E-5   
  2.645 1.17E-5    
  2.655 1.154E-5   
  2.665 1.134E-5   
  2.675 1.11E-5    
  2.685 1.084E-5   
  2.695 1.056E-5   
  2.705 1.029E-5   
  2.715 1.007E-5   
  2.725 9.91E-6    
  2.735 9.81E-6    
  2.745 9.76E-6    
  2.755 9.73E-6    
  2.765 9.68E-6    
  2.775 9.6E-6     
  2.785 9.49E-6    
  2.795 9.36E-6    
  2.805 9.26E-6    
  2.815 9.18E-6    
  2.825 9.1E-6     
  2.835 9.02E-6    
  2.845 8.91E-6    
  2.855 8.77E-6    
  2.865 8.64E-6    
  2.875 8.5E-6     
  2.885 8.36E-6    
  2.895 8.2E-6     
  2.905 8.03E-6    
  2.915 7.84E-6    
  2.925 7.64E-6    
  2.935 7.44E-6    
  2.945 7.27E-6    
  2.955 7.13E-6    
  2.965 7.01E-6    
  2.975 6.9E-6     
  2.985 6.77E-6    
  2.995 6.63E-6    
  3.005 6.47E-6    
  3.015 6.33E-6    
  3.025 6.2E-6     
  3.035 6.1E-6     
  3.045 6.01E-6    
  3.055 5.92E-6    
  3.065 5.81E-6    
  3.075 5.67E-6    
  3.085 5.52E-6    
  3.095 5.37E-6    
  3.105 5.23E-6    
  3.115 5.1E-6     
  3.125 5.0E-6     
  3.135 4.9E-6     
  3.145 4.81E-6    
  3.155 4.71E-6    
  3.165 4.62E-6    
  3.175 4.53E-6    
  3.185 4.45E-6    
  3.195 4.37E-6    
  3.205 4.3E-6     
  3.215 4.23E-6    
  3.225 4.15E-6    
  3.235 4.06E-6    
  3.245 3.96E-6    
  3.255 3.85E-6    
  3.265 3.74E-6    
  3.275 3.64E-6    
  3.285 3.56E-6    
  3.295 3.48E-6    
  3.305 3.4E-6     
  3.315 3.32E-6    
  3.325 3.24E-6    
  3.335 3.16E-6    
  3.345 3.08E-6    
  3.355 3.0E-6     
  3.365 2.93E-6    
  3.375 2.84E-6    
  3.385 2.74E-6    
  3.395 2.63E-6    
  3.405 2.53E-6    
  3.415 2.43E-6    
  3.425 2.33E-6    
  3.435 2.22E-6    
  3.445 2.11E-6    
  3.455 2.0E-6     
  3.465 1.9E-6     
  3.475 1.81E-6    
  3.485 1.72E-6    
  3.495 1.64E-6    
  3.505 1.58E-6    
  3.515 1.52E-6    
  3.525 1.46E-6    
  3.535 1.41E-6    
  3.545 1.37E-6    
  3.555 1.32E-6    
  3.565 1.29E-6    
  3.575 1.27E-6    
  3.585 1.27E-6    
  3.595 1.27E-6    
  3.605 1.28E-6    
  3.615 1.27E-6    
  3.625 1.27E-6    
  3.635 1.26E-6    
  3.645 1.24E-6    
  3.655 1.23E-6    
  3.665 1.21E-6    
  3.675 1.2E-6     
  3.685 1.19E-6    
  3.695 1.18E-6    
  3.705 1.17E-6    
  3.715 1.15E-6    
  3.725 1.13E-6    
  3.735 1.1E-6     
  3.745 1.06E-6    
  3.755 1.03E-6    
  3.765 1.0E-6     
  3.775 9.8E-7     
  3.785 9.8E-7     
  3.795 9.7E-7     
  3.805 9.6E-7     
  3.815 9.4E-7     
  3.825 9.2E-7     
  3.835 9.0E-7     
  3.845 8.7E-7     
  3.855 8.6E-7     
  3.865 8.4E-7     
  3.875 8.2E-7     
  3.885 8.0E-7     
  3.895 7.7E-7     
  3.905 7.5E-7     
  3.915 7.4E-7     
  3.925 7.3E-7     
  3.935 7.2E-7     
  3.945 7.0E-7     
  3.955 6.7E-7     
  3.965 6.2E-7     
  3.975 5.5E-7     
  3.985 4.5E-7     
  3.995 3.2E-7     
  4.005 2.0E-7     
  4.015 1.1E-7     
  4.025 5.0E-8     
  4.035 2.0E-8     
  4.045 0.0        
  4.055 0.0        
  4.065 0.0        
  4.075 0.0        
  4.085 0.0        
  4.095 0.0        
  4.105 0.0        
  4.115 0.0        
  4.125 0.0        
  4.135 0.0        
  4.145 0.0        
  4.155 0.0        
  4.165 0.0        
  4.175 0.0        
  4.185 0.0        
  4.195 0.0        
  4.205 0.0        
  4.215 0.0        
  4.225 0.0        
  4.235 0.0        
  4.245 0.0        
  4.255 0.0        
  4.265 0.0        
  4.275 0.0        
  4.285 0.0        
  4.295 0.0        
  4.305 0.0        
  4.315 0.0        
  4.325 0.0        
  4.335 0.0        
  4.345 0.0        
  4.355 0.0        
  4.365 0.0        
  4.375 0.0        
  4.385 0.0        
  4.395 0.0        
  4.405 0.0        
  4.415 0.0        
  4.425 0.0        
  4.435 0.0        
  4.445 0.0        
  4.455 0.0        
  4.465 0.0        
  4.475 0.0        
  4.485 0.0        
  4.495 0.0        
