# col1  newnz                 frac               frac_hip           
  0.015 0.006209783120355711  0.8719048467653817 0.1280951532346183 
  0.025 0.006250774146208778  0.8936621079787488 0.10633789202125121
  0.035 0.006283867532685508  0.8791862608916166 0.12081373910838344
  0.045 0.006344577947429013  0.8813194583362098 0.11868054166379016
  0.055 0.00585751798030509   0.8899503198329892 0.11004968016701078
  0.065 0.006115418000037775  0.8919750048101872 0.10802499518981279
  0.075 0.00614196414961327   0.8883412320704522 0.11165876792954776
  0.085 0.00643100637837922   0.8880694037562694 0.11193059624373058
  0.095 0.00635960143985563   0.8962684303262556 0.10373156967374442
  0.105 0.006097857885201858  0.8944272075011556 0.10557279249884444
  0.115 0.005568820814692524  0.8922499332157711 0.10775006678422894
  0.125 0.004815720416838339  0.8908843596897751 0.10911564031022492
  0.135 0.0039020806064685664 0.8945788333900753 0.10542116660992473
  0.145 0.0032238556367838443 0.8891505587287272 0.11084944127127283
  0.155 0.0025783280953903397 0.898864397204214  0.10113560279578604
  0.165 0.0020844254216972006 0.8895575432404942 0.11044245675950581
  0.175 0.0017538948025024404 0.8773835275822596 0.12261647241774043
  0.185 0.0015032447194688204 0.8858465773545143 0.11415342264548567
  0.195 0.0013337253588277486 0.876667008490867  0.12333299150913302
  0.205 0.0012042443676683482 0.8846573750716498 0.11534262492835023
  0.215 0.0011338581761644506 0.8823510793281301 0.11764892067186994
  0.225 0.0010259502024174696 0.8775077477924538 0.12249225220754623
  0.235 9.219006730423496E-4  0.8754806814313391 0.12451931856866094
  0.245 8.18389743531216E-4   0.8803397825693285 0.11966021743067146
  0.255 7.368470441250868E-4  0.8811991721541916 0.11880082784580837
  0.265 6.590675175547133E-4  0.886707772399952  0.11329222760004798
  0.275 6.190771509962559E-4  0.8764071213841852 0.1235928786158148 
  0.285 5.734460767683468E-4  0.86992554883477   0.13007445116522998
  0.295 5.313156126923031E-4  0.8699259464877985 0.13007405351220147
  0.305 4.862114662915689E-4  0.8661203846524558 0.13387961534754422
  0.315 4.4677293267639283E-4 0.8566918738767129 0.14330812612328714
  0.325 4.1082633833901624E-4 0.8472325082977836 0.15276749170221637
  0.335 3.646672593647784E-4  0.8583822802712981 0.14161771972870185
  0.345 3.2967575235538527E-4 0.8449444335033366 0.1550555664966634 
  0.355 2.8335435459798155E-4 0.8513398712972012 0.14866012870279877
  0.365 2.5150388986980044E-4 0.8378376754732647 0.1621623245267353 
  0.375 2.18646202532847E-4   0.8422059497329241 0.15779405026707594
  0.385 1.9290407847294465E-4 0.8307332429067852 0.16926675709321481
  0.395 1.7616037671819518E-4 0.8460547041798375 0.15394529582016248
  0.405 1.7137940502849033E-4 0.8520242885355355 0.14797571146446453
  0.415 1.7619189930605594E-4 0.8515501255247888 0.14844987447521119
  0.425 1.9156651177010652E-4 0.8374742209699565 0.1625257790300435 
  0.435 2.0133958784697805E-4 0.8317321120043129 0.16826788799568715
  0.445 2.035761466715134E-4  0.8555655385996433 0.14443446140035665
  0.455 2.0420808400215844E-4 0.8640419031086495 0.13595809689135052
  0.465 2.0159862566904402E-4 0.8559898396748816 0.14401016032511837
  0.475 1.963492472612674E-4  0.8620766508860351 0.13792334911396487
  0.485 1.8578460602407558E-4 0.8475605429169882 0.15243945708301176
  0.495 1.647344297268625E-4  0.8430512439772888 0.1569487560227112 
  0.505 1.498022784987547E-4  0.8312319803805583 0.16876801961944166
  0.515 1.295623174424613E-4  0.8573619453949061 0.14263805460509393
  0.525 1.2549063170551802E-4 0.826744572417581  0.17325542758241896
  0.535 1.1886647035146532E-4 0.8254725727125037 0.17452742728749626
  0.545 1.0460854585441902E-4 0.8604708302769114 0.1395291697230886 
  0.555 1.0386050427636888E-4 0.8367841319672309 0.1632158680327691 
  0.565 1.0853788964466232E-4 0.8353855595874053 0.16461444041259465
  0.575 1.2164391575513957E-4 0.8228856030231665 0.1771143969768335 
  0.585 1.3372528966703188E-4 0.835994656977797  0.16400534302220304
  0.595 1.4795172053813E-4    0.8304874880409668 0.16951251195903316
  0.605 1.6475489590917004E-4 0.8158335320206057 0.1841664679793943 
  0.615 1.8616805939268693E-4 0.8009589035408501 0.1990410964591499 
  0.625 2.043022137445573E-4  0.8100107439638448 0.18998925603615524
  0.635 2.2890970538146885E-4 0.8044227489851066 0.19557725101489343
  0.645 2.509499067801169E-4  0.7999082193862371 0.20009178061376287
  0.655 2.69371006487029E-4   0.8111476576460297 0.1888523423539703 
  0.665 3.0454673199881946E-4 0.792580570494547  0.207419429505453  
  0.675 3.456241155556212E-4  0.7986895076923728 0.2013104923076272 
  0.685 3.9513584040716434E-4 0.8024613542168971 0.19753864578310287
  0.695 4.529856479587539E-4  0.7944698117463195 0.20553018825368052
  0.705 5.189033231706843E-4  0.7886022072240801 0.21139779277591986
  0.715 5.9305322077746E-4    0.7760060173413132 0.22399398265868675
