# col1  newnz                 frac               frac_hip           
  0.015 0.011227750409138664  0.8719048467653817 0.1280951532346183 
  0.025 0.01077882782989056   0.8936621079787488 0.10633789202125121
  0.035 0.010488482828028153  0.8791862608916166 0.12081373910838344
  0.045 0.00978353526458811   0.8813194583362098 0.11868054166379016
  0.055 0.008585614083979305  0.8899503198329892 0.11004968016701078
  0.065 0.00857877178030158   0.8919750048101872 0.10802499518981279
  0.075 0.008610565089016791  0.8883412320704522 0.11165876792954776
  0.085 0.008645957137497875  0.8880694037562694 0.11193059624373058
  0.095 0.00861046728734023   0.8962684303262556 0.10373156967374442
  0.105 0.008307148907911994  0.8944272075011556 0.10557279249884444
  0.115 0.0076549739548686276 0.8922499332157711 0.10775006678422894
  0.125 0.006708985217880909  0.8908843596897751 0.10911564031022492
  0.135 0.005148618433792516  0.8945788333900753 0.10542116660992473
  0.145 0.003986196076860352  0.8891505587287272 0.11084944127127283
  0.155 0.00300970847683125   0.898864397204214  0.10113560279578604
  0.165 0.002235298600256031  0.8895575432404942 0.11044245675950581
  0.175 0.0018134842157713337 0.8773835275822596 0.12261647241774043
  0.185 0.001508474706381044  0.8858465773545143 0.11415342264548567
  0.195 0.0012871884583316195 0.876667008490867  0.12333299150913302
  0.205 0.001129542819707393  0.8846573750716498 0.11534262492835023
  0.215 0.0010276045534945554 0.8823510793281301 0.11764892067186994
  0.225 9.068130111322462E-4  0.8775077477924538 0.12249225220754623
  0.235 7.98522472923203E-4   0.8754806814313391 0.12451931856866094
  0.245 6.888652863772965E-4  0.8803397825693285 0.11966021743067146
  0.255 5.94831906160263E-4   0.8811991721541916 0.11880082784580837
  0.265 5.153372631259225E-4  0.886707772399952  0.11329222760004798
  0.275 4.649624562655428E-4  0.8764071213841852 0.1235928786158148 
  0.285 4.1666376108736626E-4 0.86992554883477   0.13007445116522998
  0.295 3.695584547446918E-4  0.8699259464877985 0.13007405351220147
  0.305 3.276727887532996E-4  0.8661203846524558 0.13387961534754422
  0.315 2.9425263334838605E-4 0.8566918738767129 0.14330812612328714
  0.325 2.6226105240674855E-4 0.8472325082977836 0.15276749170221637
  0.335 2.211507955164958E-4  0.8583822802712981 0.14161771972870185
